NO,QTY,JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA,TOTAL
228,2,SILVER BRACELETS,BTP 128,0,0,8,60,8.00,224.00,107.52,215.04
229,1,SILVER BRACELETS,BTP 128,0,0,15,39,8.50,121.00,116.16,116.16
230,2,SILVER BRACELETS,BTP 128,0,0,5,47,9.00,254.00,121.92,243.84
231,2,SILVER BRACELETS,BCKS 48,0,0,18,36,7.00,77.00,36.96,73.92
232,6,SILVER BRACELETS,BCKS 48,0,0,4,35,7.50,251.00,40.16,240.96
233,3,SILVER BRACELETS,BCKS 48,0,0,42,63,8.00,134.00,42.88,128.64
234,4,SILVER NECKLECES,NCKS 48,0,0,26,63,20.00,419.00,100.56,402.24
235,2,SILVER NECKLECES,NCKS 48,0,0,8,25,22.00,235.00,112.80,225.60
236,1,SILVER BRACELETS,BCKS 156,0,0,34,18,8.50,116.00,111.36,111.36
237,1,SILVER BRACELETS,BSBP 708,0,0,31,27,8.00,77.00,73.92,73.92
238,1,SILVER BRACELETS,BSBP 708,0,0,1,52,8.50,82.00,78.72,78.72
239,1,SILVER BRACELETS,BSBP 708,0,0,19,38,9.00,87.00,83.52,83.52
240,2,SILVER BRACELETS,BCTP 115,0,0,45,82,8.50,270.00,129.60,259.20
241,2,SILVER BRACELETS,BCBD 725,0,0,36,100,8.00,117.00,56.16,112.32
242,2,SILVER BRACELETS,BCBD 725,0,0,17,96,8.50,122.00,58.56,117.12
243,2,SILVER NECKLECES,NSRB 401,0,0,14,77,24.00,142.00,68.16,136.32
244,3,SILVER BRACELETS,BCSS 800,0,0,10,96,7.50,216.00,69.12,207.36
245,5,SILVER BRACELETS,BCSS 800,0,0,26,61,8.00,382.00,73.34,366.72
246,2,SILVER BRACELETS,BCSS 800,0,0,16,31,8.50,159.00,76.32,152.64
247,4,SILVER BRACELETS,BSTR 097,0,0,16,16,8.00,265.00,63.60,254.40
248,3,SILVER BRACELETS,BSTR 097,0,0,28,100,8.50,213.00,68.16,204.48
249,1,SILVER BRACELETS,BSTR 097,0,0,46,41,9.00,75.00,72.00,72.00
250,1,SILVER BRACELETS,BSFK 850-G,0.9,0,11,13,8.00,64.00,130.46,130.46
251,17,SILVER BRACELETS,BSOK 46,0,0,2,99,7.00,516.00,29.14,495.36
252,24,SILVER BRACELETS,BSOK 46,0,0,7,74,7.50,787.00,31.48,755.52
253,12,SILVER BRACELETS,BSOK 46,0,0,5,21,8.00,435.00,34.80,417.60
254,2,SILVER BRACELETS,BSOK 46,0,0,24,64,8.25,72.00,34.56,69.12
255,2,SILVER BRACELETS,BSTR 550,0,0,4,41,8.00,105.00,50.40,100.80
256,2,SILVER BRACELETS,BSTR 550,0,0,5,20,8.50,110.00,52.80,105.60
257,2,SILVER BRACELETS,BSTR 550,0,0,20,17,9.00,115.00,55.20,110.40
258,4,SILVER BRACELETS,BSTR 577,0,0,28,73,7.00,185.00,44.40,177.60
