JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA
SILVER BRACELETS,BSTR 5704-S,0,33,18,44.316,7,39,73.86
SILVER BRACELETS,BSTR 5704-S,0,33,2,44.316,7.5,40,73.86
SILVER BRACELETS,BSTR 5703,0,0,8,47.814,7,39,79.69
SILVER BRACELETS,BSTR 5702-S,0,35,1,44.676,7,38,74.46
SILVER BRACELETS,NSTR 468-S,0,12,15,61.338,16,75,102.23
SILVER BRACELETS,NSTR 468-S,0,12,5,65.946,18,83,109.91
SILVER BRACELETS,BSTR 468-S,0,12,20,37.488,7.5,107,62.48
SILVER BRACELETS,BSTR 468-S,0,12,18,37.488,7.5,71,62.48
SILVER NECKLECES,NSRB 301,0,0,20,14.112,16,49,23.52
SILVER NECKLECES,NSRB 301,0,0,16,15.552,18,54,25.92
SILVER NECKLECES,NSRB 301,0,0,16,17.568,20,61,29.28
SILVER NECKLECES,NSRB 301,0,0,20,21.024,24,73,35.04
SILVER NECKLECES,NSRB 301,0,0,16,25.92,30,90,43.2
SILVER BRACELETS,BCBD 725,0,0,10,29.568,7,154,49.28
SILVER BRACELETS,BCBD 725,0,0,11,31.248,7.5,217,52.08
SILVER BRACELETS,BCBD 725,0,0,19,32.832,8,228,54.72
SILVER BRACELETS,BSTR 6831,0,0,17,30.036,7.5,365,50.06
SILVER BRACELETS,BSTR 6831,0,0,16,31.434,8,382,52.39
SILVER BRACELETS,BSTR 6831,0,0,17,33.408,8.5,348,55.68
SILVER BRACELETS,BSTR 681,0,0,11,29.49,7.5,256,49.15
SILVER BRACELETS,BSTR 681,0,0,4,30.99,8,269,51.65
SILVER BRACELETS,BSTR 681,0,0,12,33.294,8.5,289,55.49
SILVER BRACELETS,BSTR 462,0,0,12,13.884,7,241,23.14
SILVER BRACELETS,BSTR 462,0,0,9,14.832,7.5,206,24.72
SILVER BRACELETS,BSTR 462,0,0,17,15.48,8,215,25.8
SILVER BRACELETS,BSTR 463,0,0,3,13.938,7,242,23.23
SILVER BRACELETS,BSTR 463,0,0,8,14.82,7.5,386,24.7
SILVER BRACELETS,BSFB 614,0,0,16,87.168,8,454,145.28
SILVER BRACELETS,BSFB 614,0,0,14,94.464,8.5,328,157.44
SILVER BRACELETS,BSFB 614,0,0,4,99.936,9,347,166.56
SILVER BRACELETS,BSER 125,0,0,13,36.978,7.5,321,61.63
SILVER BRACELETS,BSER 125,0,0,4,39.744,8,414,66.24
SILVER BRACELETS,BSER 125,0,0,8,41.472,8.5,288,69.12
SILVER BRACELETS,BSHK 743,0,0,19,37.824,7.5,197,63.04
SILVER BRACELETS,BSHK 743,0,0,13,40.704,8,212,67.84
SILVER BRACELETS,BSHK 743,0,0,13,43.584,8.5,227,72.64
SILVER BRACELETS,BSTR 711,0,0,6,53.856,8,187,89.76
SILVER BRACELETS,BSTR 711,0,0,12,56.736,8.5,394,94.56
SILVER BRACELETS,BSTR 711,0,0,9,59.328,9,103,98.88
SILVER BRACELETS,BSFK 850,0,0,11,33.6,7.5,175,56
SILVER BRACELETS,BSFK 850,0,0,12,36.144,8,251,60.24
SILVER BRACELETS,BSFK 816,0,0,12,36.48,8,190,60.8
SILVER BRACELETS,BSFK 816,0,0,10,37.728,8.5,262,62.88
SILVER BRACELETS,BPKM 210,0,0,12,38.304,8,133,63.84
SILVER BRACELETS,BPKM 210,0,0,6,40.512,8.5,211,67.52
SILVER BRACELETS,BPKM 210,0,0,18,42.048,9,73,70.08
SILVER BRACELETS,BSTR 577-G,1,0,10,76.278,7.5,103,127.13
SILVER BRACELETS,BSFK 850-G,0.9,0,3,75.396,7.5,118,125.66
